DV Bounds:,Units: SI (m)
Thick13[Min:0.0005 Max:0.002 Step:0.0005]
Thick24[Min:0.0005 Max:0.002 Step:0.0005]
Fillet[Min:0.0004 Max:0.00175 Step:0.00045]
CornerSize: 0.0018
Substructure,ID,Material,K_xy,K_y,K_theta,mass,maxMises1,maxMises2,maxMises3,Thick13,Thick24,Fillet
Cross,42,Titanium Alpha-Beta,11308824576.000,16254717952.000,314195.969,0.240,62000148.000,71253384.000,684983744.000,0.150,0.150,0.085
Cross,43,Titanium Alpha-Beta,11531080704.000,17059460096.000,326396.125,0.243,63083912.000,74186280.000,704446208.000,0.150,0.150,0.130
Cross,44,Titanium Alpha-Beta,11811990528.000,18037098496.000,342202.250,0.247,64405656.000,77487688.000,727561792.000,0.150,0.150,0.175
Cross,45,Titanium Alpha-Beta,12403565568.000,18441822208.000,350536.031,0.254,69873336.000,83891592.000,774132736.000,0.150,0.200,0.040
Cross,46,Titanium Alpha-Beta,12560155648.000,19243321344.000,361361.719,0.255,70418048.000,77252064.000,786523904.000,0.150,0.200,0.085
Cross,47,Titanium Alpha-Beta,12780653568.000,20178638848.000,375762.469,0.258,71217992.000,80313632.000,801220928.000,0.150,0.200,0.130
Cross,48,Titanium Alpha-Beta,13057683456.000,21293412352.000,394102.438,0.262,72236224.000,83799760.000,817242176.000,0.150,0.200,0.175
Cross,49,Titanium Alpha-Beta,9686432768.000,12159080448.000,262580.906,0.228,70136544.000,80923928.000,772534656.000,0.200,0.050,0.040
Cross,50,Titanium Alpha-Beta,9864607744.000,12649665536.000,269891.500,0.230,70784888.000,87376264.000,782603584.000,0.200,0.050,0.085
Cross,51,Titanium Alpha-Beta,10098806784.000,13247161344.000,279657.562,0.233,71247952.000,92619576.000,798740800.000,0.200,0.050,0.130
Cross,52,Titanium Alpha-Beta,10404531200.000,14073022464.000,292857.156,0.237,71930704.000,94804288.000,814373568.000,0.200,0.050,0.175
Cross,53,Titanium Alpha-Beta,11146907648.000,15300964352.000,307224.688,0.240,69651112.000,84372928.000,773820544.000,0.200,0.100,0.040
Cross,54,Titanium Alpha-Beta,11310991360.000,15965601792.000,316059.344,0.242,70405032.000,80793984.000,784652032.000,0.200,0.100,0.085
Cross,55,Titanium Alpha-Beta,11536585728.000,16773434368.000,327989.156,0.245,71060008.000,80137944.000,802530176.000,0.200,0.100,0.130
Cross,56,Titanium Alpha-Beta,11820807168.000,17748582400.000,343493.594,0.249,71883304.000,81993992.000,818231552.000,0.200,0.100,0.175
Cross,57,Titanium Alpha-Beta,12402489344.000,18438993920.000,350499.531,0.254,69570312.000,84776688.000,769950784.000,0.200,0.150,0.040
Cross,58,Titanium Alpha-Beta,12561769472.000,19234062336.000,361388.938,0.255,70479728.000,76593456.000,782329408.000,0.200,0.150,0.085
Cross,59,Titanium Alpha-Beta,12778959872.000,20176781312.000,375710.719,0.258,71247296.000,80182928.000,800602752.000,0.200,0.150,0.130
Cross,60,Titanium Alpha-Beta,13056374784.000,21291644928.000,394149.344,0.262,72207464.000,84340400.000,816853952.000,0.200,0.150,0.175
Cross,61,Titanium Alpha-Beta,13617317888.000,21674590208.000,397552.438,0.268,69962288.000,87385280.000,766589440.000,0.200,0.200,0.040
Cross,62,Titanium Alpha-Beta,13767756800.000,22600855552.000,410539.562,0.270,70600368.000,83691048.000,779399040.000,0.200,0.200,0.085
Cross,63,Titanium Alpha-Beta,13980068864.000,23669999616.000,427445.656,0.273,71519112.000,87081488.000,794467264.000,0.200,0.200,0.130
Cross,64,Titanium Alpha-Beta,14258173952.000,24917680128.000,449041.375,0.277,72628416.000,90926608.000,810094848.000,0.200,0.200,0.175
