ThickTR[Min:0.2 Max:0.6 Step:0.133333333333]
ThickTL[Min:0.2 Max:0.6 Step:0.133333333333]
ThickBL[Min:0.2 Max:0.6 Step:0.133333333333]
ThickBR[Min:0.2 Max:0.6 Step:0.133333333333]
Fillet[Min:0.5 Max:2.5 Step:0.666666666667]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Material:	ThickTR:	ThickTL:	ThickBL:	ThickBR:	Fillet:	K_xy:	K_y:	K_theta:	mass:
Aluminum 2219	0.200	0.400	0.600	0.200	2.500	787077824.000	800051584.000	78972813312.000	435291.901
Aluminum 2219	0.200	0.400	0.600	0.400	0.500	879597248.000	891415936.000	88087896064.000	430628.387
Aluminum 2219	0.200	0.400	0.600	0.400	1.500	904586112.000	924006528.000	90751205376.000	433838.830
Aluminum 2219	0.200	0.400	0.600	0.400	2.500	970948352.000	989312128.000	97320984576.000	440259.717
Aluminum 2219	0.200	0.400	0.600	0.600	0.500	944697216.000	961107520.000	94708080640.000	435652.362
Aluminum 2219	0.200	0.400	0.600	0.600	1.500	998332224.000	1019873408.000	100103987200.000	438862.805
Aluminum 2219	0.200	0.400	0.600	0.600	2.500	1049489536.000	1070596736.000	105187221504.000	445283.692
Aluminum 2219	0.200	0.600	0.200	0.200	0.500	631756480.000	640584960.000	63361069056.000	420687.757
Aluminum 2219	0.200	0.600	0.200	0.200	1.500	657613312.000	667445440.000	66024435712.000	423898.200
Aluminum 2219	0.200	0.600	0.200	0.200	2.500	699013184.000	711239936.000	70114820096.000	430319.087
Aluminum 2219	0.200	0.600	0.200	0.400	0.500	842061312.000	855105088.000	84400381952.000	425692.973
Aluminum 2219	0.200	0.600	0.200	0.400	1.500	895406208.000	910914944.000	89771474944.000	428903.416
Aluminum 2219	0.200	0.600	0.200	0.400	2.500	939236416.000	957088448.000	94345822208.000	435324.303
Aluminum 2219	0.200	0.600	0.200	0.600	0.500	985658112.000	1000886848.000	98996469760.000	430754.348
Aluminum 2219	0.200	0.600	0.200	0.600	1.500	1022056832.000	1039887232.000	102689710080.000	433964.791
Aluminum 2219	0.200	0.600	0.200	0.600	2.500	1073668032.000	1093891584.000	108005171200.000	440385.678
Aluminum 2219	0.200	0.600	0.400	0.200	0.500	717757440.000	728481152.000	71976443904.000	425655.573
Aluminum 2219	0.200	0.600	0.400	0.200	1.500	743441408.000	757460224.000	74525278208.000	428866.016
Aluminum 2219	0.200	0.600	0.400	0.200	2.500	786050624.000	800025344.000	78854414336.000	435286.903
Aluminum 2219	0.200	0.600	0.400	0.400	0.500	927376320.000	944444032.000	92983902208.000	430642.089
